,Description,magnitude,score
1004,"Urgent I rescue this dog in Cheras area, and I guess is owner don't wan it already, it walk around that area around one week already and it never shout to people but only cannot get close with other pets, I hope that anyone can adopt it cause it really a nice dog Kindly contact me",0.0,0.0
1005,Still available please email me if you like to adopt her Pregnant cat Need a safe home for her and her babies........Looking for a pet owner.,0.8,0.4
1006,"For Adoption, plz pm me: Born: Sept Age: 2 month Sex: White(male), black (female) Diet: Qiut wetfood(morning), Boiled fish(nite), kibbles Iams+mix blackwood+whiskers, they love to eat so these are their diet everyday Character: pla yful,notty, singing but the male quite berlagak :P, Litter Train Dewormed &amp; Vaccine : No Location: Pandan Indah Additional info: Need to adopt together",0.3,0.3
1007,"Hello Everyone, At the moment now at home, I'm fostering 3 cute kitties.The first 2 was found by my bf.They were abondoned at the side of a big n wide drain...Luckily he saw them n took them in if not they would have fell into the drain n drown.....The third kitty came to the house by himself i guess, if not, someone had dumped him there...All are toilet-trained, know how to use the litter-box, all are also dewormed.No adoption fees - absolutely free terms and condition : I can always visit them, give TLC..... ;)Here they are : 1.Male tabby - 1.5 Months old Name : Gemook a.k.a Gemu, Pogie ( Can change their names if u want to ) Very fat, mischevious, notty, cute kitten, the coloring on him is nice as well",4.7,0.0
1008,"Active, friendly and a good watchdog.Urgently seeking adoption, please contact SPCA Penang for futher inforamtion.If you are located outside of Penang, please contact your local animal shelters instead.We currently do not provide transportation of the animals to other states.",0.9,0.2
1009,"She is an abandoned dog.*This doggy is quiet.*No caging and no unnecessary leaching.*She is very tame.*One of her back leg is injured, but in revovery process ***Attention: - The adoption fee is for vaccination and spaying.- The adopter must allow home visit.- The adopter must willing to spay her.- IC, Name and address needed.- Not allow to abandon or rehome unless approve by Donor.- The adopter must monthly update us with pictures ensure doggies are handle in good conditions.",5.2,0.2
1010,live with his new owner already..,0.1,0.1
1011,This cute kitty came to my house and refused to leave.Please call if you are interested in adopting it.,0.1,0.0
1012,Very cute n clever.Found dump at road side.Fear for its life is left alone without mum.Look for kind hearted people to give her a warm home,2.2,0.2
1013,Found at the side of the road.Very timid at first yet approachable.Very much like a lost puppy that requires a lot of attention.Very sweet and playful once she gets comfortable.,2.5,0.6
1014,"Jake was seen wandering around the housing area and the rescuer has knocked every door and hope to find his owner but to no reveal.Who would have abandoned such a cutie pie?If you wish to be his loving family, please call Carol",0.9,0.2
1015,Kindly leave a email for me.,0.1,-0.1
1016,"I unfortunately have to give my adorable Tommy up for adoption because of allergy.Tommy is the most loving, quiet and adorable cat one can wish for.All he wants is cuddles.He is a pure breed Norvegian Forrest cat.Pedigree papers are available.Tommy is deaf on one ear but hears perfectly well with the other.It does not bother him at all.Please help me find him a good home urgently!Thanks!!",3.0,0.2
1017,Meet Toffy boy!Does he look like rotti mixed?will he grow up to be a macho boy?Please come and see him by yourself!,0.5,0.0
1018,Kiwi For adoption,0.1,0.1
1019,Tinkerbell was rescued yesterday nearby Puncak Jalil.He is smaller than my cat Fluffy!Please help this little girl find her owner or contact me for adoption.Thank you.Xxx,1.0,0.2
1020,This is Stuxedo.Stokins + Tuxedo since it has black and white fur.Please adopt and give him new shelter.,0.4,0.1
1021,"Please contact us to adopt this pet, or visit our PAWS shelter to meet our animals!",0.1,0.1
1022,"He's very pampered cat and healthy, approximately 2 years old, i really need a family or someone whom are cat lovers to adopt this cat, since i'd enough cats already..please contact me via this number or my email for further details and inquiry, i'm currently at Maran, but i'll willing to travel to KL if there's anyone interested.",0.7,0.7
1023,"Lovely and cheerful pup, able to letch and toilet trained.",0.9,0.9
1024,"Looking for a forever home.Sandy is a boy!Yes don't be fooled by the name, if you're looking for a dog to guard the house he is your boy!!Alert and very aware of his surroundings Sandy is usually the one who would alarm everyone around him if something isn't normal to him.He also loves his food!.Overall a sweet and caring boy.",2.8,0.3
1025,"Born in my house, got bluish eyes and very long tail...overly manja...",0.2,0.0
1026,"I found the tabby kitten on May 3 in the middle of the night nearby my flat.It was wandering alone on the road so I decided to bring back the kitten because I afraid it might hit by car.Tried to search for its mom in vicinity area but to no avail.The tabby kitten is healthy, very playful and active just minor fungus in one of its ear.Few days later (tonight May 7-on the day I advertise them for adoption) I came across another ginger kitten crying by the roadside not far from the previous location.Both probably siblings considering where they were found and both also about the same age.The ginger kitten is quite in bad condition; sore eyes (not so severe), diarrhea and swollen anus.I'm looking for kind hearted people to adopt them (u could either adopt both or just one of them, preferably both of them) because currently I'm not in a position to adopt any pets (not working, no fix income and need to take care of my senile and wheelchair bound mother).I can't even afford to send them to vet due to my financial situation.No special requirement just be a responsible adopter and neuter/spay them when they reach 2 months or so.",4.6,-0.1
